id,issuer,card_offer,segment,category,welcome_intro_offer,bonus_miles,cash_bonus,spend_requirement,spend_timeframe_days_tier_1,spend_requirement_timing,base_annual_fee_usd,additional_user_annual_fee_usd,additional_requirements_annual_fee,intro_apr,regular_apr,rewards_key_perks,source_url,source_basis,retrieved,notes,raw_json,created_at,updated_at,issuer_partner,spend_requirement_extra_reqs,bonus_miles_type,spend_timeframe_days_tier_2,cash_bonus_type
225,Alliant Credit Union,Alliant Cashback Visa® Signature Credit Card,CONSUMER,CASH_BACK,No separate welcome bonus found on public Alliant sources; earns unlimited 1.5% cash back on eligible purchases.,,NA,NA,NA,NA,0,0,,Not found on public Alliant product/disclosure sources,Variable purchase APR 15.74%-25.74%; balance transfer APR 15.74%-25.74%; cash advance APR 23.74%-27.74%; penalty APR 28.74%,"Unlimited 1.5% cash back on eligible purchases; no categories, caps, or activation; no foreign transaction fee; Visa Signature Luxury Hotel Collection, concierge, rental car privileges, purchase security, travel accident insurance, extended warranty, identity theft protection, and auto rental collision damage waiver benefits.",https://www.alliantcreditunion.org/credit-cards/visa-signature-card,Official product page with linked disclosure and rewards terms PDFs,2026-05-30T00:15:03-06:00,"Membership applies. Cash back excludes finance charges, fees, cash advances, balance transfers, certain cash-like transactions, and other excluded categories. No application or prequalification flow was used.","{""target"": {""id"": 24, ""institution"": ""Alliant Credit Union"", ""institution_type"": ""Bank/Card Issuer"", ""role"": ""Credit union issuer"", ""known_issuer_partner"": ""Alliant Credit Union"", ""known_rewards_card_examples"": ""Alliant Cashback Visa Signature"", ""offer_research_url"": ""https://www.alliantcreditunion.org/bank/visa-signature-card"", ""alternate_issuer_url"": ""https://www.alliantcreditunion.org/bank/credit-cards"", ""notes"": ""Membership applies.""}, ""retrieved"": ""2026-05-30T00:15:03-06:00"", ""card_offer"": ""Alliant Cashback Visa® Signature Credit Card"", ""sources"": [{""url"": ""https://www.alliantcreditunion.org/credit-cards"", ""basis"": ""Official credit card comparison page"", ""evidence"": ""Lists Alliant Visa Platinum and Alliant Cashback Visa Signature as current credit card offers; /bank/credit-cards alternate was unavailable.""}, {""url"": ""https://www.alliantcreditunion.org/credit-cards/visa-signature-card"", ""basis"": ""Official product page"", ""evidence"": ""Shows unlimited 1.5% cash back, no annual fee, no foreign transaction fees, Visa Signature perks, and fee table.""}, {""url"": ""https://www.alliantcreditunion.org/images/uploads/files/VisaSignatureCreditCardDisclosure.pdf"", ""basis"": ""Official credit card disclosure PDF"", ""evidence"": ""Shows purchase and balance-transfer APR 15.74%-25.74%, cash-advance APR 23.74%-27.74%, no annual fee, no foreign transaction fee, 3% balance-transfer fee, and penalty APR 28.74%.""}, {""url"": ""https://www.alliantcreditunion.org/images/uploads/files/CashbackVisaSignatureProgramTermsConditions.pdf"", ""basis"": ""Official rewards program terms PDF"", ""evidence"": ""Shows unlimited 1.50% cash back on eligible purchases, exclusions, $25 redemption threshold, redemption options, and expiration rules.""}, {""url"": ""https://www.alliantcreditunion.org/images/uploads/files/VisaSignatureCreditCardAgreement.pdf"", ""basis"": ""Official card agreement PDF"", ""evidence"": ""Supports account agreement, finance-charge, balance-transfer, cash-advance, and payment-allocation details.""}], ""evidence_summary"": ""Alliant product page and program terms show unlimited 1.5% cash back with no annual fee and no foreign transaction fee; disclosure PDF supplies APR and fee details."", ""limitations"": [""The target alternate URL /bank/credit-cards returned a page-not-found message, so the current /credit-cards comparison page was used.""], ""browser_safety"": ""Official pages and linked PDFs were viewed/read only. No login, prequalification, application, or personal-information workflow was submitted.""}",2026-05-30 06:15:03,2026-05-30 15:47:45,,,,NA,NA
226,Alliant Credit Union,Alliant Visa® Platinum Credit Card,CONSUMER,BALANCE_TRANSFER,Introductory APR as low as 0% for 12 months on purchases and balance transfers; disclosure states 0%-5.99% introductory APR based on creditworthiness.,,NA,NA,365,Introductory APR for purchases and balance transfers for 12 months from account opening,0,0,,"0%-5.99% introductory APR for 12 months from account opening on purchases and balance transfers, based on creditworthiness","After intro, variable purchase and balance-transfer APR 13.74%-25.74%; cash advance APR 22.74%-27.74%; penalty APR 28.74%","No annual fee; low balance-transfer fee of either $5 or 2% of the amount transferred, whichever is greater; Visa Zero Liability, contactless/mobile wallet support, auto rental collision damage waiver, Roadside Dispatch, EMV chip, and Visa Secure.",https://www.alliantcreditunion.org/credit-cards/visa-platinum-card,Official product page with linked disclosure PDF,2026-05-30T00:15:03-06:00,Membership applies. Introductory rate and incentive offers are not available to members who had an outstanding balance on a closed Alliant Visa Credit Card account or had an Alliant Visa Credit Card within the last six months. No application or prequalification flow was used.,"{""target"": {""id"": 24, ""institution"": ""Alliant Credit Union"", ""institution_type"": ""Bank/Card Issuer"", ""role"": ""Credit union issuer"", ""known_issuer_partner"": ""Alliant Credit Union"", ""known_rewards_card_examples"": ""Alliant Cashback Visa Signature"", ""offer_research_url"": ""https://www.alliantcreditunion.org/bank/visa-signature-card"", ""alternate_issuer_url"": ""https://www.alliantcreditunion.org/bank/credit-cards"", ""notes"": ""Membership applies.""}, ""retrieved"": ""2026-05-30T00:15:03-06:00"", ""card_offer"": ""Alliant Visa® Platinum Credit Card"", ""sources"": [{""url"": ""https://www.alliantcreditunion.org/credit-cards"", ""basis"": ""Official credit card comparison page"", ""evidence"": ""Lists Alliant Visa Platinum and Alliant Cashback Visa Signature as current credit card offers; /bank/credit-cards alternate was unavailable.""}, {""url"": ""https://www.alliantcreditunion.org/credit-cards/visa-platinum-card"", ""basis"": ""Official product page"", ""evidence"": ""Shows 0% APR intro rate for 12 months on purchases and balance transfers, no annual fee, 2% balance-transfer fee, and standard variable APR 13.74%-25.74% after intro.""}, {""url"": ""https://www.alliantcreditunion.org/images/uploads/files/VisaCreditCardDisclosure.pdf"", ""basis"": ""Official credit card disclosure PDF"", ""evidence"": ""Shows 0%-5.99% introductory APR for 12 months on purchases and balance transfers based on creditworthiness; after intro, Platinum APR 13.74%-25.74%, no annual fee, 2% balance-transfer fee, and 2% foreign transaction fee.""}, {""url"": ""https://www.alliantcreditunion.org/images/uploads/files/VisaCreditCardAgreement.pdf"", ""basis"": ""Official card agreement PDF"", ""evidence"": ""Supports intro-offer eligibility, account agreement, finance-charge, balance-transfer, foreign-transaction, and payment-allocation details.""}], ""evidence_summary"": ""Alliant product/compare pages show the Visa Platinum offer, 12-month intro APR, no annual fee, and balance transfer positioning; disclosure PDF supplies 0%-5.99% intro APR range, post-intro APR, and fees."", ""limitations"": [""The product page headlines intro APR as low as 0%; the disclosure clarifies 0%-5.99% introductory APR based on creditworthiness.""], ""browser_safety"": ""Official pages and linked PDFs were viewed/read only. No login, prequalification, application, or personal-information workflow was submitted.""}",2026-05-30 06:15:03,2026-05-30 15:47:45,,,,NA,NA
54,American Express,Delta SkyMiles Blue American Express Card,CONSUMER,AIRLINE_REWARDS,"Earn 10,000 bonus miles after spending $1,000 in eligible purchases on the new Card in the first 6 months.",10000,NA,1000,180,"After spending $1,000 in eligible purchases on the new Card in the first 6 months.",0,0,,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,2x miles on Delta purchases and at restaurants worldwide including takeout/delivery in the U.S.; 1x other purchases; Pay with Miles eligibility; 20% back as a statement credit on select in-flight purchases; no foreign transaction fees.,https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards#blue,Official Delta product page plus Amex rates/fees and offer/benefit terms,2026-05-29T21:45:57-06:00,"Official Delta page provided the public Blue Card offer and benefits. Browser runtime was used for live page checks; no sign-in, preapproval, or application flow was entered.","{""browser_verified"": true, ""evidence"": {""benefits"": ""Delta personal page showed 2x Delta/restaurant earn, Pay with Miles, and in-flight purchase statement credit."", ""offer"": ""Delta personal page showed 10,000 bonus miles after $1,000 spend in first 6 months."", ""pricing"": ""Amex rates/fees page showed $0 annual fee, purchase APR 19.49%-28.49%, foreign transaction none, rates accurate as of 05/29/26.""}, ""institution_target"": ""Delta SkyMiles"", ""sources"": [""https://www.delta.com/us/en/skymiles/airline-credit-cards/overview"", ""https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards"", ""https://www.delta.com/blueofferterms"", ""https://www.delta.com/blueratesandfees"", ""https://www.delta.com/bluebenefitterms""], ""target_id"": 32}",2026-05-30 03:45:57,2026-05-30 15:47:45,Delta SkyMiles,,Delta Skymiles,NA,NA
51,American Express,Delta SkyMiles Gold American Express Card,CONSUMER,AIRLINE_REWARDS,"Apply and find out your welcome offer as high as 80,000 miles after $2,000 in eligible purchases on the new Card within the first 6 months of Card Membership; welcome offers vary and applicant may not be eligible.",80000,NA,2000,180,"As high as 80,000 miles after $2,000 in eligible purchases within the first 6 months; offer varies by applicant/channel.",150,0,$0 introductory annual fee for the first year,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,"2x miles on Delta purchases, at restaurants worldwide including takeout/delivery in the U.S., and at U.S. supermarkets; 1x other purchases; first checked bag free on Delta flights; 15% off Delta award travel booked with miles on Delta-operated flights; up to $100 Delta Stays credit each year; earn $200 Delta Flight Credit after $10,000 purchases in a calendar year; no foreign transaction fees.",https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards#gold,Official Delta product page plus Amex rates/fees and offer/benefit terms,2026-05-29T21:45:57-06:00,"Official Delta page says applicants apply and find out their welcome offer; welcome offers vary and the applicant may not be eligible for an offer. Browser runtime was used for live page checks; no sign-in, preapproval, or application flow was entered.","{""browser_verified"": true, ""evidence"": {""benefits"": ""Delta personal page showed 2x Delta/restaurant/U.S. supermarket earn, first checked bag free, TakeOff 15, Delta Stays credit, and $200 Delta Flight Credit after $10K spend."", ""offer"": ""Delta personal page showed as high as 80,000 miles after $2,000 spend in first 6 months, with welcome offers varying by applicant."", ""pricing"": ""Amex rates/fees page showed $0 intro annual fee first year then $150, purchase APR 19.49%-28.49%, foreign transaction none, rates accurate as of 05/29/26.""}, ""institution_target"": ""Delta SkyMiles"", ""sources"": [""https://www.delta.com/us/en/skymiles/airline-credit-cards/overview"", ""https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards"", ""https://www.delta.com/goldofferterms"", ""https://www.delta.com/goldratesandfees"", ""https://www.delta.com/goldbenefitterms""], ""target_id"": 32}",2026-05-30 03:45:57,2026-05-30 15:47:45,Delta SkyMiles,,Delta Skymiles,NA,NA
55,American Express,Delta SkyMiles Gold Business American Express Card,BUSINESS,AIRLINE_REWARDS,"Earn 60,000 bonus miles after making $4,000 in eligible purchases on the Card in the first 6 months.",60000,NA,4000,180,"After making $4,000 in eligible purchases on the Card in the first 6 months.",150,0,$0 introductory annual fee for the first year,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,"2x miles at restaurants worldwide including U.S. takeout/delivery; 2x miles at U.S. shipping providers and U.S. providers for advertising in select media on up to $50,000 per category per year; up to $150 Delta Stays credit each year; 15% off eligible Delta award travel; $200 Delta Flight Credit after $10,000 purchases in a calendar year; first checked bag free on Delta flights; no foreign transaction fees.",https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards#gold,Official Delta business product page plus Amex rates/fees and offer/benefit terms,2026-05-29T21:45:57-06:00,"Official Delta business page provided current public business-card offers and benefits. Browser runtime was used for live page checks; no sign-in, preapproval, or application flow was entered.","{""browser_verified"": true, ""evidence"": {""benefits"": ""Delta business page showed 2x restaurant/shipping/advertising categories, Delta Stays credit, TakeOff 15, Delta Flight Credit, and first checked bag free."", ""offer"": ""Delta business page showed 60,000 miles after $4,000 spend in first 6 months."", ""pricing"": ""Amex business rates/fees page showed $0 intro annual fee first year then $150, purchase APR 19.49%-28.49%, foreign transaction none.""}, ""institution_target"": ""Delta SkyMiles"", ""sources"": [""https://www.delta.com/us/en/skymiles/airline-credit-cards/overview"", ""https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards"", ""https://www.delta.com/goldbizofferterms"", ""https://www.delta.com/goldbizratesandfees"", ""https://www.delta.com/goldbizbenefitterms""], ""target_id"": 32}",2026-05-30 03:45:57,2026-05-30 15:47:45,Delta SkyMiles,,Delta Skymiles,NA,NA
52,American Express,Delta SkyMiles Platinum American Express Card,CONSUMER,AIRLINE_REWARDS,"Apply and find out your welcome offer as high as 90,000 miles after $3,000 in eligible purchases on the new Card within the first 6 months of Card Membership; welcome offers vary and applicant may not be eligible.",90000,NA,3000,180,"As high as 90,000 miles after $3,000 in eligible purchases within the first 6 months; offer varies by applicant/channel.",350,0,,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,"3x miles on Delta purchases and eligible hotel purchases; 2x miles at restaurants worldwide and U.S. supermarkets; 1x other purchases; Delta Main round-trip companion certificate after renewal; MQD Headstart and MQD Boost ($1 MQD per $20 purchases); up to $390 per year in rideshare, Delta Stays, and Resy statement credits; 15% off eligible Delta award travel; no foreign transaction fees.",https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards#plat,Official Delta product page plus Amex rates/fees and offer/benefit terms,2026-05-29T21:45:57-06:00,"Official Delta page says applicants apply and find out their welcome offer; welcome offers vary and the applicant may not be eligible for an offer. Browser runtime was used for live page checks; no sign-in, preapproval, or application flow was entered.","{""browser_verified"": true, ""evidence"": {""benefits"": ""Delta personal page showed companion certificate, 3x Delta/hotel earn, MQD Headstart/Boost, and rideshare/Delta Stays/Resy credits."", ""offer"": ""Delta personal page showed as high as 90,000 miles after $3,000 spend in first 6 months, with welcome offers varying by applicant."", ""pricing"": ""Amex rates/fees page showed $350 annual fee, purchase APR 19.49%-28.49%, foreign transaction none, rates accurate as of 05/29/26.""}, ""institution_target"": ""Delta SkyMiles"", ""sources"": [""https://www.delta.com/us/en/skymiles/airline-credit-cards/overview"", ""https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards"", ""https://www.delta.com/platofferterms"", ""https://www.delta.com/platratesandfees"", ""https://www.delta.com/platbenefitterms""], ""target_id"": 32}",2026-05-30 03:45:57,2026-05-30 15:47:45,Delta SkyMiles,,Delta Skymiles,NA,NA
56,American Express,Delta SkyMiles Platinum Business American Express Card,BUSINESS,AIRLINE_REWARDS,"Earn 70,000 bonus miles after making $6,000 in eligible purchases on the Card in the first 6 months.",70000,NA,6000,180,"After making $6,000 in eligible purchases on the Card in the first 6 months.",350,0,,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,"15% off eligible Delta award travel; companion certificate for Delta Main domestic/Caribbean/Central American round trip after renewal; 1.5x miles on transit, U.S. shipping providers, and single eligible purchases of $5,000 or more up to $100,000 combined eligible purchases per year; MQD Headstart and MQD Boost ($1 MQD per $20 purchases); up to $440 per year in rideshare, Delta Stays, and Resy credits; no foreign transaction fees.",https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards#plat,Official Delta business product page plus Amex rates/fees and offer/benefit terms,2026-05-29T21:45:57-06:00,"Official Delta business page provided current public business-card offers and benefits. Browser runtime was used for live page checks; no sign-in, preapproval, or application flow was entered.","{""browser_verified"": true, ""evidence"": {""benefits"": ""Delta business page showed companion certificate, 1.5x eligible categories, MQD Headstart/Boost, and rideshare/Delta Stays/Resy credits."", ""offer"": ""Delta business page showed 70,000 miles after $6,000 spend in first 6 months."", ""pricing"": ""Amex business rates/fees page showed $350 annual fee, purchase APR 19.49%-28.49%, foreign transaction none.""}, ""institution_target"": ""Delta SkyMiles"", ""sources"": [""https://www.delta.com/us/en/skymiles/airline-credit-cards/overview"", ""https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards"", ""https://www.delta.com/platbizofferterms"", ""https://www.delta.com/platbizratesandfees"", ""https://www.delta.com/platbizbenefitterms""], ""target_id"": 32}",2026-05-30 03:45:57,2026-05-30 15:47:45,Delta SkyMiles,,Delta Skymiles,NA,NA
53,American Express,Delta SkyMiles Reserve American Express Card,CONSUMER,AIRLINE_REWARDS,"Apply and find out your welcome offer as high as 100,000 miles after $5,000 in eligible purchases on the new Card within the first 6 months of Card Membership; welcome offers vary and applicant may not be eligible.",100000,NA,5000,180,"As high as 100,000 miles after $5,000 in eligible purchases within the first 6 months; offer varies by applicant/channel.",650,0,,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,"3x miles on Delta purchases; 1x other purchases; 15 Delta Sky Club visits each Medallion Year when flying Delta and unlimited access after $75,000 calendar-year spend; Centurion Lounge and Escape Lounge access when booking Delta flight with the Card; companion certificate for Delta First, Delta Comfort, or Delta Main eligible round trip after renewal; MQD Headstart and MQD Boost ($1 MQD per $10 purchases); up to $560 per year in rideshare, Delta Stays, and Resy statement credits; no foreign transaction fees.",https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards#reserve,Official Delta product page plus Amex rates/fees and offer/benefit terms,2026-05-29T21:45:57-06:00,"Official Delta page says applicants apply and find out their welcome offer; welcome offers vary and the applicant may not be eligible for an offer. Browser runtime was used for live page checks; no sign-in, preapproval, or application flow was entered.","{""browser_verified"": true, ""evidence"": {""benefits"": ""Delta personal page showed Delta Sky Club visits, Centurion/Escape Lounge access, companion certificate, MQD Headstart/Boost, and credits."", ""offer"": ""Delta personal page showed as high as 100,000 miles after $5,000 spend in first 6 months, with welcome offers varying by applicant."", ""pricing"": ""Amex rates/fees page showed $650 annual fee, purchase APR 19.49%-28.49%, foreign transaction none, rates accurate as of 05/29/26.""}, ""institution_target"": ""Delta SkyMiles"", ""sources"": [""https://www.delta.com/us/en/skymiles/airline-credit-cards/overview"", ""https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards"", ""https://www.delta.com/resofferterms"", ""https://www.delta.com/resratesandfees"", ""https://www.delta.com/resbenefitterms""], ""target_id"": 32}",2026-05-30 03:45:57,2026-05-30 15:47:45,Delta SkyMiles,,Delta Skymiles,NA,NA
57,American Express,Delta SkyMiles Reserve Business American Express Card,BUSINESS,AIRLINE_REWARDS,"Earn 80,000 bonus miles after making $10,000 in eligible purchases on the Card in the first 6 months.",80000,NA,10000,180,"After making $10,000 in eligible purchases on the Card in the first 6 months.",650,0,,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,"1.5x miles on transit, U.S. shipping providers, and U.S. office supply store purchases; after $150,000 annual spend, 1.5x miles on all eligible purchases for rest of year; 15 Delta Sky Club visits each Medallion Year when flying Delta and unlimited access after $75,000 calendar-year spend; Centurion Lounge/Escape Lounge access when booking Delta with the Card; companion certificate for Delta First, Delta Comfort, or Delta Main eligible round trip after renewal; MQD Headstart and MQD Boost ($1 MQD per $10 purchases); up to $610 per year in rideshare, Delta Stays, and Resy credits; no foreign transaction fees.",https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards#reserve,Official Delta business product page plus Amex rates/fees and offer/benefit terms,2026-05-29T21:45:57-06:00,"Official Delta business page provided current public business-card offers and benefits. Browser runtime was used for live page checks; no sign-in, preapproval, or application flow was entered.","{""browser_verified"": true, ""evidence"": {""benefits"": ""Delta business page showed lounge access, companion certificate, 1.5x eligible categories, MQD Headstart/Boost, and credits."", ""offer"": ""Delta business page showed 80,000 miles after $10,000 spend in first 6 months."", ""pricing"": ""Amex business rates/fees page showed $650 annual fee, purchase APR 19.49%-28.49%, foreign transaction none.""}, ""institution_target"": ""Delta SkyMiles"", ""sources"": [""https://www.delta.com/us/en/skymiles/airline-credit-cards/overview"", ""https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards"", ""https://www.delta.com/resbizofferterms"", ""https://www.delta.com/resbiztratesandfees"", ""https://www.delta.com/resbizbenefitterms""], ""target_id"": 32}",2026-05-30 03:45:57,2026-05-30 15:47:45,Delta SkyMiles,,Delta Skymiles,NA,NA
66,American Express,Hilton Honors American Express Aspire Card,CO_BRAND_CONSUMER,HOTEL_REWARDS,"Limited Time Offer: Earn 175,000 Hilton Honors Bonus Points; offer ends 7/29/26.",175000,NA,6000,180,"Earn 175,000 Hilton Honors Bonus Points after spending $6,000 in eligible purchases on the Card in the first 6 months of Card Membership; offer ends 7/29/26.",550,0,,None found on public official source.,19.49% to 28.49% variable purchase APR based on creditworthiness and other factors; variable APRs will not exceed 29.99%.,"14X points on eligible Hilton purchases; 7X on flights booked directly with airlines or AmexTravel.com, car rentals booked directly from select companies, and U.S. restaurants; 3X all other eligible purchases; complimentary Diamond status; Annual Free Night Reward in first year and at renewal; up to $400 annual Hilton resort credits; up to $200 back per year on eligible flight purchases; up to $209 CLEAR Plus statement credit; additional Free Night Rewards after $30,000 and $60,000 annual spend; up to $100 qualifying Waldorf Astoria/Conrad property credit; National Car Rental Emerald Club Executive status; no foreign transaction fees.",https://www.hilton.com/en/hilton-honors/credit-cards/,Official Hilton listing page with Amex terms/rates enrichment,2026-05-29T21:58:08-06:00,Limited-time offer observed on Hilton and Amex official terms. Amex terms state welcome-offer eligibility may vary by card history and other factors and that applicants are notified before processing if not eligible. Did not enter or submit an application. Amex rates page says variable APRs are accurate as of 05/29/26.,"{""target"":{""id"":59,""institution"":""Hilton Honors"",""issuer_partner"":""American Express"",""offer_research_url"":""https://www.hilton.com/en/hilton-honors/credit-cards/"",""alternate_issuer_url"":""https://www.americanexpress.com/us/credit-cards/card/hilton-honors-surpass/"",""priority"":""High""},""retrieved"":""2026-05-29T21:58:08-06:00"",""sources"":[{""url"":""https://www.hilton.com/en/hilton-honors/credit-cards/"",""basis"":""Official Hilton Honors credit cards page"",""evidence"":""Hilton page showed four U.S. Hilton Honors American Express card offers, welcome-offer spend requirements, limited-time 7/29/26 end dates, earning categories, benefits, annual fees, and links to Amex rates, offer, and benefit terms.""},{""url"":""https://www.americanexpress.com/us/credit-cards/card-application/apply/partner/print/personal-card/hil/hilton-honors-aspire-credit-card/ep-hil-28077?print=false#offer-terms"",""basis"":""Official Amex offer terms"",""evidence"":""Offer terms confirmed 175,000 points after $6,000 eligible purchases in first 6 months and offer end 07/29/2026 at 23:59 pm MST.""},{""url"":""https://www.americanexpress.com/us/credit-cards/card-application/apply/partner/print/personal-card/hil/hilton-honors-aspire-credit-card/ep-hil-28077?print=false"",""basis"":""Official Amex rates and fees page"",""evidence"":""Rates page showed 19.49%-28.49% purchase APR, $550 annual fee, no foreign transaction fee, max APR, and APR accuracy date.""}],""limitations"":[""Public official sources only; no login, prequalification, or application submission."",""Offer terms can vary by applicant, eligibility history, and marketing channel."",""Limited-time Hilton Honors American Express offers observed with July 29, 2026 end date on official pages.""]}",2026-05-30 03:58:08,2026-05-30 15:47:45,Hilton Honors,,Hilton Honors Bonus Points,NA,NA
